"","logFC","logCPM","PValue","FDR"
"ENSMUSG00000020611",-0.797087799365734,6.82011927781643,2.54223657028276e-08,3.71265587439345e-07
"ENSMUSG00000060093",-0.794875184048036,6.39315768185244,0.000641858655977367,0.00326740633158239
"ENSMUSG00000030122",-0.793293696301117,5.44910453075389,1.46419086447626e-08,2.19824115768165e-07
"ENSMUSG00000060802",-0.792963134827393,2.89533263327171,0.0001378370811012,0.000881169969859573
"ENSMUSG00000029103",-0.792658138496513,7.25676422985925,5.09288594549151e-08,7.05289439126256e-07
"ENSMUSG00000024538",-0.792446448103008,4.51703911729288,2.18707322191395e-07,2.73262648671359e-06
"ENSMUSG00000083410",-0.792230097373723,5.73196762714831,1.09993841781574e-06,1.19573929590004e-05
"ENSMUSG00000023067",-0.791572654429669,4.80565796019554,1.84579369998037e-09,3.13061088330004e-08
"ENSMUSG00000073236",-0.791305826251492,2.35631315487515,0.000173887087140148,0.00108210309623186
"ENSMUSG00000046280",-0.790208632694449,3.99606211026356,1.20806962161561e-08,1.83826020230954e-07
"ENSMUSG00000029581",-0.789563726492862,6.98465540128921,5.82028567431666e-08,7.99134461632367e-07
"ENSMUSG00000031458",-0.787287325821851,4.6799751683485,9.74996461166464e-08,1.30211819546519e-06
"ENSMUSG00000027276",-0.786261325469465,4.92628638601275,1.73981997017902e-09,2.95979963156779e-08
"ENSMUSG00000022620",-0.783237227860343,2.59185569378094,0.000610048719889496,0.00313098943640227
"ENSMUSG00000065701",-0.780209038348284,3.36006439711165,2.38289374390188e-07,2.95757617551619e-06
"ENSMUSG00000007564",-0.780096204479157,7.53329794830243,1.11504626387868e-06,1.21029876808067e-05
"ENSMUSG00000035235",-0.77985820122849,4.8161087709322,2.04443597685621e-07,2.57996677332504e-06
"ENSMUSG00000010051",-0.777357230359064,2.99992704660613,1.90794908318759e-06,1.97558816210354e-05
"ENSMUSG00000031539",-0.776921488341609,2.42427538417677,1.76224776583452e-05,0.000144329760573992
"ENSMUSG00000031381",-0.776380317036804,5.40287315013446,5.1117531683653e-10,9.34661209402728e-09
"ENSMUSG00000000120",-0.775723736968987,3.61605055083829,2.34220558693139e-07,2.91028749447994e-06
"ENSMUSG00000032299",-0.775448167107625,4.74824785261022,9.96205247622504e-09,1.53878131998833e-07
"ENSMUSG00000017639",-0.773855858880147,6.34524272470798,1.18092527414149e-08,1.79939088180502e-07
"ENSMUSG00000034460",-0.773328991460838,5.55513908183736,9.92067013264816e-09,1.53449705146669e-07
"ENSMUSG00000043311",-0.772904242180095,2.5438082783763,4.62979626224409e-06,4.40457351683036e-05
"ENSMUSG00000035212",-0.772215168466796,5.33983035899368,1.1752608850723e-09,2.04579081310185e-08
"ENSMUSG00000031700",-0.771797039264362,7.76706217253563,9.45389440963393e-08,1.26709228410409e-06
"ENSMUSG00000022210",-0.770837915591033,3.33034118583206,6.88798488737713e-07,7.86349137650313e-06
"ENSMUSG00000030560",-0.770794781715386,5.37345145888718,9.81898804567423e-09,1.52086116492571e-07
"ENSMUSG00000027907",-0.77027018966461,3.6783855586213,2.05982571825313e-06,2.12502203685839e-05
"ENSMUSG00000026365",-0.768919845865745,2.95311589816231,5.78284889081072e-06,5.39205105946655e-05
"ENSMUSG00000019808",-0.768007632526144,4.28263053644034,1.23031531315254e-08,1.86705744890693e-07
"ENSMUSG00000044033",-0.767056345832832,3.9655977279026,2.04883088357426e-07,2.57996677332504e-06
"ENSMUSG00000031990",-0.766637624269326,5.07265529270376,1.96372781191943e-09,3.32061943534345e-08
"ENSMUSG00000028159",-0.765528854763696,2.84857557045943,1.42716557533167e-05,0.000120612044692521
"ENSMUSG00000042529",-0.765367673956855,2.87257916188328,1.2340008660619e-06,1.32407821935745e-05
"ENSMUSG00000041670",-0.764100885046065,3.73332911478606,2.16224399831126e-06,2.21644792716591e-05
"ENSMUSG00000028039",-0.764057496718582,1.72351752669093,0.000281007418467963,0.00162297299469555
"ENSMUSG00000029521",-0.763411644787637,5.04882459256479,2.28625923035656e-08,3.3644469401482e-07
"ENSMUSG00000054889",-0.763329290507161,4.6954645980299,3.26705660689709e-07,3.96441938070294e-06
"ENSMUSG00000029499",-0.762611741701738,3.07640598010504,1.55752571217428e-06,1.64299968418384e-05
"ENSMUSG00000041143",-0.762254867064456,2.81351436396302,2.7400833836302e-06,2.73158135185475e-05
"ENSMUSG00000011267",-0.762240456026018,5.09173955628862,1.6049871632253e-09,2.75543216037688e-08
"ENSMUSG00000081640",-0.761871216508832,2.38383217940081,0.000220906275958127,0.00132697172710958
"ENSMUSG00000029576",-0.761080313997996,3.5927587057721,3.89328469074279e-07,4.67734896873961e-06
"ENSMUSG00000016252",-0.760206329487132,4.91797028854713,1.56399553826191e-06,1.64827833437256e-05
"ENSMUSG00000050628",-0.758255244538825,5.11349912617028,9.17258846695286e-10,1.62947483903452e-08
"ENSMUSG00000001128",-0.757550012030555,3.34021166266481,3.7980763065487e-05,0.000283406556517187
"ENSMUSG00000062526",-0.756970954905631,4.25803762224067,6.59898297601748e-09,1.05856724058939e-07
"ENSMUSG00000029725",-0.755849804857586,2.95604026744637,2.4310326688526e-06,2.45615115554784e-05
"ENSMUSG00000028480",-0.753678620577015,5.27847233320648,2.84196474967704e-08,4.11298502060725e-07
"ENSMUSG00000021792",-0.752342190292036,2.99376220903066,2.3255128736026e-06,2.37084245364109e-05
"ENSMUSG00000031584",-0.752243175690011,7.05806029678747,1.36051367569922e-07,1.77071484759696e-06
"ENSMUSG00000003279",-0.751930403216716,1.74497285364217,0.000847709152365444,0.00414150713364552
"ENSMUSG00000079523",-0.75160501429076,5.78356649195137,2.5876584665118e-07,3.18709961182094e-06
"ENSMUSG00000037405",-0.749780681426382,5.98418865024303,2.1514529042174e-07,2.69410778484684e-06
"ENSMUSG00000092052",-0.749340233190097,4.09048816242875,2.09016922291929e-08,3.09669998836988e-07
"ENSMUSG00000002043",-0.748289317493419,2.56815832289461,8.92178270035667e-05,0.000600751176440184
"ENSMUSG00000062210",-0.747856548033393,2.27040886754758,4.74717417707921e-05,0.000344399829814553
"ENSMUSG00000015290",-0.747616498980875,3.63121878710538,1.80803706872745e-07,2.29215071452539e-06
"ENSMUSG00000090025",-0.747589263619487,5.59754890694087,9.90116046290508e-05,0.000657640575341805
"ENSMUSG00000027993",-0.747270642057756,5.09463923168531,2.34975872950108e-09,3.92033188623734e-08
"ENSMUSG00000022898",-0.746702828712346,5.18014469632909,1.22694781063031e-08,1.86446326088349e-07
"ENSMUSG00000042229",-0.746218313339358,5.1358553089484,1.41772087400998e-08,2.13131968292008e-07
"ENSMUSG00000022261",-0.746129631783542,4.13527783997186,3.80703648027094e-08,5.39170342829303e-07
"ENSMUSG00000040618",-0.74587849822903,7.03494176528888,8.34893085014662e-07,9.39610130707193e-06
"ENSMUSG00000064294",-0.744828930440308,5.2208009877871,2.65260699584044e-09,4.39949346139023e-08
"ENSMUSG00000025007",-0.744178103035407,6.96247930990631,5.14529633596497e-08,7.09924629422407e-07
"ENSMUSG00000027597",-0.74339482603847,6.11094611208686,9.95968534746398e-08,1.32854877499683e-06
"ENSMUSG00000025408",-0.74270792478718,4.1852154941891,8.75805768587614e-06,7.8162189426728e-05
